#separator:tab
#html:true
#tags column:5
#deck:Chinese Trip Vocabulary
#notetype:Basic (and reversed card)
#columns:Front	Back	Tags
你好 (nǐ hǎo)	Hello	greetings
谢谢 (xièxie)	Thank you	greetings
再见 (zàijiàn)	Goodbye	greetings
请 (qǐng)	Please	greetings
对不起 (duìbùqǐ)	Sorry	greetings
没关系 (méi guānxi)	It's OK	greetings
早上好 (zǎoshang hǎo)	Good morning	greetings
晚上好 (wǎnshang hǎo)	Good evening	greetings
你 (nǐ)	You	greetings
我 (wǒ)	I/me	greetings
他 (tā)	He/him	greetings
她 (tā)	She/her	greetings
我们 (wǒ men)	We/us	greetings
是 (shì)	Is/am/are	greetings
的 (de)	Possessive particle	greetings
了 (le)	Completed action	greetings
吗 (ma)	Question particle	greetings
不 (bù)	No/not	greetings
很 (hěn)	Very	greetings
也 (yě)	Also	greetings
都 (dōu)	All	greetings
和 (hé)	And	greetings
在 (zài)	At/in	greetings
有 (yǒu)	Have	greetings
没 (méi)	Not have	greetings
这 (zhè)	This	greetings
那 (nà)	That	greetings
什么 (shén me)	What	greetings
谁 (shuí)	Who	greetings
哪儿 (nǎr)	Where	greetings
怎么 (zěn me)	How	greetings
为什么 (wèi shén me)	Why	greetings
现在 (xiàn zài)	Now	greetings
今天 (jīn tiān)	Today	greetings
明天 (míng tiān)	Tomorrow	greetings
昨天 (zuó tiān)	Yesterday	greetings
时间 (shí jiān)	Time	greetings
年 (nián)	Year	numbers
月 (yuè)	Month/moon	numbers
日 (rì)	Day/sun	numbers
点 (diǎn)	O'clock	numbers
分 (fēn)	Minute	numbers
半 (bàn)	Half	numbers
一 (yī)	One	numbers
二 (èr)	Two	numbers
三 (sān)	Three	numbers
四 (sì)	Four	numbers
五 (wǔ)	Five	numbers
六 (liù)	Six	numbers
七 (qī)	Seven	numbers
八 (bā)	Eight	numbers
九 (jiǔ)	Nine	numbers
十 (shí)	Ten	numbers
百 (bǎi)	Hundred	numbers
千 (qiān)	Thousand	numbers
万 (wàn)	Ten thousand	numbers
多少 (duōshao)	How much/many	numbers
个 (gè)	Measure word	numbers
块 (kuài)	Dollar/yuan	numbers
钱 (qián)	Money	numbers
吃 (chī)	Eat	food
饭 (fàn)	Rice/meal	food
菜 (cài)	Dish/vegetable	food
肉 (ròu)	Meat	food
鱼 (yú)	Fish	food
水 (shuǐ)	Water	food
茶 (chá)	Tea	food
酒 (jiǔ)	Alcohol/wine	food
咖啡 (kāfēi)	Coffee	food
面 (miàn)	Noodles	food
饺子 (jiǎozi)	Dumplings	food
汤 (tāng)	Soup	food
糖 (táng)	Sugar	food
盐 (yán)	Salt	food
辣 (là)	Spicy	food
甜 (tián)	Sweet	food
酸 (suān)	Sour	food
苦 (kǔ)	Bitter	food
好吃 (hǎo chī)	Delicious	food
喝 (hē)	Drink	food
餐厅 (cān tīng)	Restaurant	food
菜单 (cài dān)	Menu	food
服务员 (fú wù yuán)	Waiter/waitress	food
买单 (mǎi dān)	Pay the bill	food
打包 (dǎ bāo)	Takeout	food
去 (qù)	Go	travel
来 (lái)	Come	travel
走 (zǒu)	Walk/go	travel
飞 (fēi)	Fly	travel
飞机 (fēi jī)	Airplane	travel
车 (chē)	Car/vehicle	travel
站 (zhàn)	Station	travel
路 (lù)	Road	travel
左 (zuǒ)	Left	travel
右 (yòu)	Right	travel
前 (qián)	Front	travel
后 (hòu)	Back/behind	travel
里 (lǐ)	Inside	travel
外 (wài)	Outside	travel
上 (shàng)	Up/on	travel
下 (xià)	Down/off	travel
近 (jìn)	Near	travel
远 (yuǎn)	Far	travel
票 (piào)	Ticket	travel
酒店 (jiǔ diàn)	Hotel	travel
机场 (jī chǎng)	Airport	travel
火车 (huǒ chē)	Train	travel
地铁 (dì tiě)	Subway	travel
出租车 (chū zū chē)	Taxi	travel
买 (mǎi)	Buy	shopping
卖 (mài)	Sell	shopping
贵 (guì)	Expensive	shopping
便宜 (pián yi)	Cheap	shopping
大 (dà)	Big	shopping
小 (xiǎo)	Small	shopping
多 (duō)	Many	shopping
少 (shǎo)	Few	shopping
颜色 (yán sè)	Color	shopping
红 (hóng)	Red	shopping
蓝 (lán)	Blue	shopping
白 (bái)	White	shopping
黑 (hēi)	Black	shopping
可以 (kě yǐ)	Can/may	shopping
要 (yào)	Want/need	shopping
不要 (bú yào)	Don't want	shopping
试 (shì)	Try	shopping
换 (huàn)	Exchange	shopping
退 (tuì)	Return	shopping
爱 (ài)	Love	greetings
喜欢 (xǐ huan)	Like	greetings
想 (xiǎng)	Think/want	greetings
知道 (zhī dào)	Know	greetings
看 (kàn)	See/look	greetings
听 (tīng)	Listen	greetings
说 (shuō)	Speak	greetings
做 (zuò)	Do/make	greetings
能 (néng)	Can/able	greetings
会 (huì)	Can/will	greetings
可能 (kě néng)	Maybe/possible	greetings
应该 (yīng gāi)	Should	greetings
对 (duì)	Correct/right	greetings
